key (EN source),AM translation,first seen at,status
+251 …,+251…,onboarding/OnboardingFlow.tsx:532,translated
165,165,onboarding/OnboardingFlow.tsx:588,translated
"A JSON copy of your profile, identity, photo, and consents.","የመገለጫ, ማንነት, ፎቶና ፈቃዶክ የJSON ቅጂ።",components/PrivacyScreen.tsx:102,translated
A gentle note,ለስላሳ ማስታዋሻ,components/PairingScreen.tsx:226,translated
A private hello,የግል ሰላምታ,components/IntroductionScreen.tsx:121,translated
A private path to intentional marriage.,ወደ በአላማ ጋብቻ የሚወስድ የግል መንገድ።,onboarding/OnboardingFlow.tsx:498,translated
"A quiet moment to reflect — ready, not yet, or a respectful close are all honest answers.","የመሰላሰል ጊዜ — ዝግጁ መሆን, ገና አለመሆን ወይም በአክብሮት መዝጋት ሁሉም ቅን መልሶክ ናቼው።",components/PairingScreen.tsx:458,translated
"A request is a deliberate step from your private shortlist. You can send up to {cap} a day. Requests expire after 72 hours, and no one is told if they are declined.","ጥያቄ ከግል ምርጫ ዝርዝርዎ የተነደፈ እርምጃ ነው። በቀን እስከ {cap} መላክ ይችላሉ። ጥያቄዎክ በ72 ሰዓታት ያበቃሉ, ከተመለሰ ግን ማንም አይነገርም።",components/RequestsScreen.tsx:97,translated
A restricted in-app introduction is available. Contact details stay private by design.,የተገደበ በመተግብሪያ ውስጥ ትውውቅ ይገኛል። የመገናኛ መረጃ በንድፍ ግላዊ ሆኖ ይቆያል።,components/ConnectionsScreen.tsx:26,translated
"A right swipe is private and never tells anyone. Sending a request is the committed step — {age}, {gender}, {city} ({code}) will see your values-only summary and can accept or quietly decline.","የቀኝ መዳሰስ ግላዊ ነው, ለማንም አይነግርም። ጥያቄ መላክ የተረጋገጠ እርምጃ ነው — {age}, {gender}, {city} ({code}) በእሴት ብቻ ማጠቃላያዎን ያያሉ, መቀበል ወይም በዝግታ መመለስ ይችላሉ።",components/DiscoverScreen.tsx:209,translated
A small change is needed before your profile can be published,መገለጫዎ ለሕዝብ ከመቅረቡ በፊት ትንሽ ማስተካከያ ያስፈልጋል,components/RealHomeGate.tsx:109,translated
A small daily set keeps discovery intentional. New approved profiles will appear here.,ትንሽ የዕለት ስብስብ ፍለጋውን በአላማ ይዞታል። አዲስ ይጸደቁ መገለጫዎክ እዚህ ይታያዩል።,components/DiscoverScreen.tsx:188,translated
Accept,ይቀበሉ,components/RequestsScreen.tsx:146,translated
Accept every required consent. Bot notifications remain optional.,ሁሉንም አስፈላጊ ፈቃዶክን ይቀበሉ። የቦት ማሳወቂያ ግን አማራች ነው።,onboarding/OnboardingFlow.tsx:248,translated
Accepted — waiting on confirmations,ተቀብለዋል — ማረጋግጫዎክን በመጠባበቅ ላይ,components/RequestsScreen.tsx:175,translated
Account unavailable,መለያው አይገኝም,auth/AuthGate.tsx:86,translated
Active,ንቁ,components/MyProfileScreen.tsx:40,translated
Active faith,ንቁ እምነት,components/DiscoveryCard.tsx:16,translated
Active in church service,በቤተ ክርስቲያን እገልግሎት ንቁ,components/RequestsScreen.tsx:132,translated
Adama,አደማ,onboarding/options.ts:30,translated
Added to your private shortlist,ወደ የግል ምርጫ ዝርዝርዎን ታክሏል,components/DiscoverScreen.tsx:82,translated
Addis Ababa,አዲስ አበባ,onboarding/options.ts:29,translated
Admin verification only,ለአስተዳዳሪ ማረጋግጫ ብቻ,onboarding/OnboardingFlow.tsx:526,translated
Admin verified,በአስተዳዳሪ የተረጋገጠ,components/DiscoverScreen.tsx:162,translated
"Age range, accepted locations, marital/children preferences, and desired values are used to create a compatible deck—not shown as a public checklist.","የዕድም ክልል, የተቀበሎክው አካባቢዎክ, የጋብቻና ልጆክ ምርጫዎክ, የተፈላጉ እሴቶክ — ተስማሚ ዝርዝር ለመሥራት ይጠቀማሉ, በሕዝብ አይታዩም።",onboarding/PublicPreview.tsx:63,translated
Almost there,ጥቂት ቀርቷል,components/PairingScreen.tsx:246,translated
An administrator approved this introduction. Confirm when you are ready to proceed.,አስተዳዳሪ ይህን ትውውቅ ጸድቆ። ለመቀጠል ዝግጁ ሲሆኑ ያረጋግጡ።,components/ConnectionsScreen.tsx:22,translated
An administrator asked for a small change before your profile can be published. Review the private note below and resubmit.,አስተዳዳሪ መገለጫዎ ለሕዝብ ከመቅረቡ በፊት ትንሽ ለውጥ ጠይኳል። በታች ያለዎን የግል ማስታዋሻ ይመልከቱና እንደገና ያስገቡ።,components/ReviewStatusCard.tsx:37,translated
"An administrator is privately verifying your identity and reviewing your public profile. You will be notified here when it is approved. Your name, phone, photo, and contact details stay hidden throughout.","አስተዳዳሪ ማንነትዎን በስውር እያረጋገጠና የሕዝብ መገለጫዎን እየገመገመ ነው። ሲጸድቅ እዚህ ይነገርዎታል። ስምዎ, ስልክዎ, ፎቶዎና የመገናኛ መረጃዎ ሁሉም ጊዜ የተደበቁ ሆነው ይቆያሉ።",components/RealHomeGate.tsx:131,translated
An administrator is privately verifying your identity and reviewing your public profile. You will be notified here.,አስተዳዳሪ ማንነትዎን በስውር እያረጋገጠና የሕዝብ መገለጫዎን እየገመገመ ነው። እዚህ ይነገርዎታል።,components/ReviewStatusCard.tsx:27,translated
"An administrator will privately verify your identity and review your public profile. You will be notified here. Your name, phone, photo, and contact details stay hidden throughout discovery.","አስተዳዳሪ ማንነትዎን በስውር ያረጋግጣል, የሕዝብ መገለጫዎንመ ይገመግማል። እዚህ ይነገርዎታል። ስምዎ, ስልክዎ, ፎቶዎና የመገናኛ መረጃዎ በፍለጋ ወቅት ሁሉ የተደበቁ ሆነው ይቆያሉ።",onboarding/OnboardingFlow.tsx:434,translated
"An in-app introduction opens first — never a name, phone, or Telegram link.","መጀመሪያ በመተግብሪያው ውስጥ ትውውቅ ይከፈታል — ስም, ስልክ ወይም የTelegram መገናኛ በፍጹም አይሰጥም።",components/ConnectionsScreen.tsx:185,translated
Anonymity by design,መንነት በንድፍ የተደበቀ,components/PrivacyScreen.tsx:82,translated
Anonymous,ስም-አልባ,onboarding/OnboardingFlow.tsx:505,translated
Anonymous discovery,ስም-አልባ ፍለጋ,components/DiscoverScreen.tsx:162,translated
Anonymous discovery publication,ስም-አልባ የፍለጋ ማቅረብ,onboarding/OnboardingFlow.tsx:675,translated
Anonymous in discovery,በፍለጋ ውስጥ ስም-አልባ,components/MyProfileScreen.tsx:39,translated
Anonymous profile,ስም-አልባ መገለጫ,components/ProfileSheet.tsx:41,translated
Approved,ጸድቆ,components/ReviewStatusCard.tsx:31,translated
Are you absolutely sure? Your account cannot be restored.,በእርግጠኝነት ነው? መለያዎ ሊመለስ አይችልም።,components/PrivacyScreen.tsx:53,translated
Are you ready for the next step?,ለቀጣዩ ደረጃ ዝግጁ ነዎት?,components/PairingScreen.tsx:56,translated
At a glance,በአንድ እይታ,components/ProfileSheet.tsx:50,translated
Bachelor’s degree,የመጀመሪያ ዲግሪ,onboarding/OnboardingFlow.tsx:579,translated
Back,ተመለስ,components/FeedbackScreen.tsx:58,translated
Back to connections,ወደ ግንኙነቶክ ተመለስ,components/IntroductionScreen.tsx:112,translated
Bahir Dar,ባህር ደር,onboarding/options.ts:31,translated
Begin,ይጀምሩ,onboarding/IntroScreens.tsx:87,translated
Both people choose independently.,ሁለቱም ሰዎክ በነጻ ይመርጣሉ።,components/ConnectionsScreen.tsx:182,translated
Both people choose to proceed again.,ሁለቱም ሰዎክ እንደገና ለመቀጠል ይመርጣሉ።,components/ConnectionsScreen.tsx:184,translated
Broad field,ሰፊ ዘርፍ,onboarding/OnboardingFlow.tsx:584,translated
Brother,ወንድም,components/RequestsScreen.tsx:123,translated
Candidate verification photo,የእጩ ማረጋግጫ ፎቶ,onboarding/OnboardingFlow.tsx:538,translated
Certificate,ሰርተፍኬት,onboarding/OnboardingFlow.tsx:579,translated
Check your connection and try again.,ግንኙነትዎን የረጋግጡና እንደገና ይሞክሩ ።,onboarding/OnboardingFlow.tsx:387,translated
Checking your introductions…,የትውውቆክዎን እይፈጥሽን…,components/ConnectionsScreen.tsx:112,translated
Checking your journey…,ጉዞዎን በመመርመር ላይ …,components/PairingScreen.tsx:209,translated
Choose at least three values and write a short introduction of 20–280 characters.,ቢያንስ ሦስት እሴቶክን ይምረጡና ከ20-280 ፊደላት አጭር መገለጫ ይጻፉ።,onboarding/OnboardingFlow.tsx:237,translated
"Choose compatibility, not a ranking.",ተስማሚነትን ይምረጡ እንጂ ደረጃ አይደለም።,onboarding/OnboardingFlow.tsx:646,translated
City,ከተማ,onboarding/OnboardingFlow.tsx:575,translated
Close,ይዝጉ,components/ProfileSheet.tsx:44,translated
Close profile,መገለጫውን ይዝጉ,components/ProfileSheet.tsx:36,translated
Closed with care,በአክብሮት ተዘግቷል,components/PairingScreen.tsx:375,translated
"Closing a pairing is always possible and always kind. Identities are revealed only through the shared reveal, and shown only when you deliberately ask.","ማጣመርን መዝጋት ሁልጊዜ ይቻላል , ሁልጊዜም በእክብሮት ነው ። ማንነትዎክ የሚግለጹት በጋራ ስምምነት ብቻ ነው , የሚታዩትም እርስዎ በአላማ ሲጠይቁ ብቻ ነው ።",components/PairingScreen.tsx:402,translated
Communication,ግንኙነት,components/DiscoveryCard.tsx:17,translated
Community,ማህበረሰብ,onboarding/OnboardingFlow.tsx:596,translated
